	matchId	rank	elo
338	LA1_1221491832	IV	IRON
339	LA1_1221446187	IV	IRON
340	LA1_1285003806	IV	IRON
341	LA1_1284993485	IV	IRON
342	LA1_1285002453	IV	IRON
343	LA1_1284622032	IV	IRON
344	LA1_1283574789	IV	IRON
345	LA1_1283580792	IV	IRON
346	LA1_1283557576	IV	IRON
347	LA1_1283423067	IV	IRON
348	LA1_1283421610	IV	IRON
349	LA1_1283379914	IV	IRON
350	LA1_1282550990	IV	IRON
351	LA1_1282519563	IV	IRON
352	LA1_1282214860	IV	IRON
353	LA1_1282214078	IV	IRON
354	LA1_1282020100	IV	IRON
355	LA1_1281351333	IV	IRON
356	LA1_1281330798	IV	IRON
357	LA1_1281297739	IV	IRON
358	LA1_1280949482	IV	IRON
359	LA1_1280938281	IV	IRON
360	LA1_1248481589	IV	IRON
361	LA1_1246685328	IV	IRON
362	LA1_1244837666	IV	IRON
363	LA1_1243032106	IV	IRON
364	LA1_1240094594	IV	IRON
365	LA1_1239692713	IV	IRON
366	LA1_1239336544	IV	IRON
367	LA1_1239331860	IV	IRON
368	LA1_1238464285	IV	IRON
369	LA1_1238399255	IV	IRON
370	LA1_1238377599	IV	IRON
371	LA1_1238335528	IV	IRON
372	LA1_1238302562	IV	IRON
373	LA1_1238287427	IV	IRON
374	LA1_1237948831	IV	IRON
375	LA1_1237887164	IV	IRON
376	LA1_1237657754	IV	IRON
377	LA1_1237399502	IV	IRON
378	LA1_1237395506	IV	IRON
379	LA1_1237382287	IV	IRON
380	LA1_1293859798	IV	IRON
381	LA1_1293856273	IV	IRON
382	LA1_1293870472	IV	IRON
383	LA1_1293519455	IV	IRON
384	LA1_1293494985	IV	IRON
385	LA1_1293510440	IV	IRON
386	LA1_1293456668	IV	IRON
387	LA1_1293438407	IV	IRON
388	LA1_1293444161	IV	IRON
389	LA1_1293168362	IV	IRON
390	LA1_1293143649	IV	IRON
391	LA1_1293090570	IV	IRON
392	LA1_1293084248	IV	IRON
393	LA1_1293014725	IV	IRON
394	LA1_1293011330	IV	IRON
395	LA1_1293008098	IV	IRON
396	LA1_1292975523	IV	IRON
397	LA1_1293002412	IV	IRON
398	LA1_1292878326	IV	IRON
399	LA1_1292864879	IV	IRON
400	LA1_1246173295	IV	IRON
401	LA1_1246150552	IV	IRON
402	LA1_1246127826	IV	IRON
403	LA1_1240178532	IV	IRON
404	LA1_1240147424	IV	IRON
405	LA1_1240146139	IV	IRON
406	LA1_1240108110	IV	IRON
407	LA1_1240113627	IV	IRON
408	LA1_1240035555	IV	IRON
409	LA1_1238826416	IV	IRON
410	LA1_1238382185	IV	IRON
411	LA1_1238346043	IV	IRON
412	LA1_1238333167	IV	IRON
413	LA1_1238295840	IV	IRON
414	LA1_1238249108	IV	IRON
415	LA1_1238252836	IV	IRON
416	LA1_1238209772	IV	IRON
417	LA1_1238176500	IV	IRON
418	LA1_1238173633	IV	IRON
419	LA1_1238200170	IV	IRON
420	LA1_1235499411	IV	IRON
421	LA1_1235009735	IV	IRON
422	LA1_1234787370	IV	IRON
423	LA1_1234792870	IV	IRON
424	LA1_1234766467	IV	IRON
425	LA1_1234743141	IV	IRON
426	LA1_1234738336	IV	IRON
427	LA1_1234704760	IV	IRON
428	LA1_1234679546	IV	IRON
429	LA1_1234667506	IV	IRON
430	LA1_1234568285	IV	IRON
431	LA1_1234590804	IV	IRON
432	LA1_1234538370	IV	IRON
433	LA1_1233739809	IV	IRON
434	LA1_1233707997	IV	IRON
435	LA1_1233726154	IV	IRON
436	LA1_1233734208	IV	IRON
437	LA1_1233733509	IV	IRON
438	LA1_1233712432	IV	IRON
439	LA1_1233641366	IV	IRON
440	LA1_1282125125	IV	IRON
441	LA1_1282100454	IV	IRON
442	LA1_1281847131	IV	IRON
443	LA1_1281833900	IV	IRON
444	LA1_1281841705	IV	IRON
445	LA1_1281517805	IV	IRON
446	LA1_1281514294	IV	IRON
447	LA1_1271803859	IV	IRON
448	LA1_1271741460	IV	IRON
449	LA1_1271689383	IV	IRON
450	LA1_1271697322	IV	IRON
451	LA1_1251588609	IV	IRON
452	LA1_1251580801	IV	IRON
453	LA1_1245188197	IV	IRON
454	LA1_1245183246	IV	IRON
455	LA1_1245168583	IV	IRON
456	LA1_1245052475	IV	IRON
